flag	operation	event_file	event_id	line	source	resolution	initializer_file	initializer_line
0	EventFlag	common.emevd.dcx.js	9480	1476	EndIf(EventFlag(eventFlagId));	parameter:eventFlagId	common.emevd.dcx.js	301
0	EventFlag	common.emevd.dcx.js	9480	1476	EndIf(EventFlag(eventFlagId));	parameter:eventFlagId	common.emevd.dcx.js	302
0	EventFlag	common.emevd.dcx.js	9480	1476	EndIf(EventFlag(eventFlagId));	parameter:eventFlagId	common.emevd.dcx.js	303
0	EventFlag	common.emevd.dcx.js	9480	1476	EndIf(EventFlag(eventFlagId));	parameter:eventFlagId	common.emevd.dcx.js	305
0	EventFlag	common.emevd.dcx.js	9480	1477	EndIf(EventFlag(eventFlagId2));	parameter:eventFlagId2	common.emevd.dcx.js	301
0	EventFlag	common.emevd.dcx.js	9480	1477	EndIf(EventFlag(eventFlagId2));	parameter:eventFlagId2	common.emevd.dcx.js	302
0	EventFlag	common.emevd.dcx.js	9480	1477	EndIf(EventFlag(eventFlagId2));	parameter:eventFlagId2	common.emevd.dcx.js	303
0	EventFlag	common.emevd.dcx.js	9480	1477	EndIf(EventFlag(eventFlagId2));	parameter:eventFlagId2	common.emevd.dcx.js	305
0	EventFlag	common.emevd.dcx.js	9480	1478	EndIf(EventFlag(eventFlagId3));	parameter:eventFlagId3	common.emevd.dcx.js	301
0	EventFlag	common.emevd.dcx.js	9480	1478	EndIf(EventFlag(eventFlagId3));	parameter:eventFlagId3	common.emevd.dcx.js	302
0	EventFlag	common.emevd.dcx.js	9480	1478	EndIf(EventFlag(eventFlagId3));	parameter:eventFlagId3	common.emevd.dcx.js	303
0	EventFlag	common.emevd.dcx.js	9480	1478	EndIf(EventFlag(eventFlagId3));	parameter:eventFlagId3	common.emevd.dcx.js	305
0	EventFlag	common.emevd.dcx.js	9480	1479	flag = EventFlag(eventFlagId) || EventFlag(eventFlagId2) || EventFlag(eventFlagId3);	parameter:eventFlagId	common.emevd.dcx.js	301
0	EventFlag	common.emevd.dcx.js	9480	1479	flag = EventFlag(eventFlagId) || EventFlag(eventFlagId2) || EventFlag(eventFlagId3);	parameter:eventFlagId	common.emevd.dcx.js	302
0	EventFlag	common.emevd.dcx.js	9480	1479	flag = EventFlag(eventFlagId) || EventFlag(eventFlagId2) || EventFlag(eventFlagId3);	parameter:eventFlagId	common.emevd.dcx.js	303
0	EventFlag	common.emevd.dcx.js	9480	1479	flag = EventFlag(eventFlagId) || EventFlag(eventFlagId2) || EventFlag(eventFlagId3);	parameter:eventFlagId	common.emevd.dcx.js	305
0	EventFlag	common.emevd.dcx.js	9480	1479	flag = EventFlag(eventFlagId) || EventFlag(eventFlagId2) || EventFlag(eventFlagId3);	parameter:eventFlagId2	common.emevd.dcx.js	301
0	EventFlag	common.emevd.dcx.js	9480	1479	flag = EventFlag(eventFlagId) || EventFlag(eventFlagId2) || EventFlag(eventFlagId3);	parameter:eventFlagId2	common.emevd.dcx.js	302
0	EventFlag	common.emevd.dcx.js	9480	1479	flag = EventFlag(eventFlagId) || EventFlag(eventFlagId2) || EventFlag(eventFlagId3);	parameter:eventFlagId2	common.emevd.dcx.js	303
0	EventFlag	common.emevd.dcx.js	9480	1479	flag = EventFlag(eventFlagId) || EventFlag(eventFlagId2) || EventFlag(eventFlagId3);	parameter:eventFlagId2	common.emevd.dcx.js	305
0	EventFlag	common.emevd.dcx.js	9480	1479	flag = EventFlag(eventFlagId) || EventFlag(eventFlagId2) || EventFlag(eventFlagId3);	parameter:eventFlagId3	common.emevd.dcx.js	301
0	EventFlag	common.emevd.dcx.js	9480	1479	flag = EventFlag(eventFlagId) || EventFlag(eventFlagId2) || EventFlag(eventFlagId3);	parameter:eventFlagId3	common.emevd.dcx.js	302
0	EventFlag	common.emevd.dcx.js	9480	1479	flag = EventFlag(eventFlagId) || EventFlag(eventFlagId2) || EventFlag(eventFlagId3);	parameter:eventFlagId3	common.emevd.dcx.js	303
0	EventFlag	common.emevd.dcx.js	9480	1479	flag = EventFlag(eventFlagId) || EventFlag(eventFlagId2) || EventFlag(eventFlagId3);	parameter:eventFlagId3	common.emevd.dcx.js	305
0	EventFlag	common.emevd.dcx.js	9480	1480	flag2 = EventFlag(eventFlagId4);	parameter:eventFlagId4	common.emevd.dcx.js	301
0	EventFlag	common.emevd.dcx.js	9480	1480	flag2 = EventFlag(eventFlagId4);	parameter:eventFlagId4	common.emevd.dcx.js	302
0	EventFlag	common.emevd.dcx.js	9480	1480	flag2 = EventFlag(eventFlagId4);	parameter:eventFlagId4	common.emevd.dcx.js	303
0	EventFlag	common.emevd.dcx.js	9480	1480	flag2 = EventFlag(eventFlagId4);	parameter:eventFlagId4	common.emevd.dcx.js	305
0	ObjActEventFlag	m24_00_00_00.emevd.dcx.js	12400850	1272	WaitFor(ObjActEventFlag(objactEventFlag));	parameter:objactEventFlag	m24_00_00_00.emevd.dcx.js	183
0	ObjActEventFlag	m24_00_00_00.emevd.dcx.js	12400850	1272	WaitFor(ObjActEventFlag(objactEventFlag));	parameter:objactEventFlag	m24_00_00_00.emevd.dcx.js	184
0	ObjActEventFlag	m24_00_00_00.emevd.dcx.js	12400850	1272	WaitFor(ObjActEventFlag(objactEventFlag));	parameter:objactEventFlag	m24_00_00_00.emevd.dcx.js	185
0	ObjActEventFlag	m24_00_00_00.emevd.dcx.js	12400850	1272	WaitFor(ObjActEventFlag(objactEventFlag));	parameter:objactEventFlag	m24_00_00_00.emevd.dcx.js	186
0	EventFlag	m24_01_00_00.emevd.dcx.js	12415420	796	EndIf(EventFlag(eventFlagId));	parameter:eventFlagId	m24_01_00_00.emevd.dcx.js	99
0	EventFlag	m24_01_00_00.emevd.dcx.js	12415420	796	EndIf(EventFlag(eventFlagId));	parameter:eventFlagId	m24_01_00_00.emevd.dcx.js	100
0	EventFlag	m24_01_00_00.emevd.dcx.js	12415420	796	EndIf(EventFlag(eventFlagId));	parameter:eventFlagId	m24_01_00_00.emevd.dcx.js	101
0	EventFlag	m24_01_00_00.emevd.dcx.js	12415420	796	EndIf(EventFlag(eventFlagId));	parameter:eventFlagId	m24_01_00_00.emevd.dcx.js	103
0	SetEventFlag	m27_00_00_00.emevd.dcx.js	12700170	1128	SetEventFlag(0, OFF);	literal		
0	EventFlag	m28_00_00_00.emevd.dcx.js	12804500	587	flag &= EventFlag(eventFlagId3);	parameter:eventFlagId3	m28_00_00_00.emevd.dcx.js	320
0	EventFlag	m28_00_00_00.emevd.dcx.js	12804500	587	flag &= EventFlag(eventFlagId3);	parameter:eventFlagId3	m28_00_00_00.emevd.dcx.js	321
